MMAU58877468ST	MMAU39257528ST	SAMN05930823	SAMN05930824	SAMN05930830	SAMN05930831	SAMN05930832	SAMN05930833	SAMN05578592	SAMN05578586	SAMN05578587	SAMN05578588	SAMN05578589	SAMN05578590	SAMN05578591	SAMN12711642	SAMN12711643	SAMN12711644	SAMN12711645	SAMN12711646	SAMN12711647	SAMN12711648	SAMN12711649	SAMN12711650	SAMN12711651	SAMN12711652	SAMN12711653	SAMN12711654	SAMN12711655	SAMN12711656	SAMN12711657	SAMN12711658	SAMN12711659	SAMN12711660	SAMN12711661	SAMN12711662	SAMN12711663	SAMN12711664	SAMN12711665	SAMN12711672	SAMN12711682	SAMN12711687	SAMN12711701	SAMN12711702	SAMN12711703	SAMN12711704	SAMN12711705	SAMN08110868	SAMN08110869	SAMN08110872	SAMN08110873	SAMN08110875	SAMN08110876	SAMN08110878	SAMN08110879	SAMN08110881	SAMN08110882	SAMN08110884	SAMN08110885	SAMN08110887	SAMN08110888	SAMN08110889	SAMN08110891	SAMN08110892	SAMEA104393725	SAMEA104393727	SAMEA104393790	SAMEA104393791	SAMEA104393734	SAMEA104393794	SAMEA104393700	SAMEA104393740	SAMEA104393741	SAMEA104393705	SAMEA104393746	SAMEA104393708	SAMEA104393753	SAMEA104393756	SAMEA104393762	SAMEA104393764	SAMEA104393768	SAMEA104393772	SAMEA104393773	SAMEA104393777	SAMEA104393781	SAMEA104393784	SAMN09534387	SAMN09534388	SAMN09534389	SAMN09534390	SAMN09534391	SAMN09534392	SAMN09534393	SAMN09534394	SAMN09534395	SAMN09534398	SAMN04126171	SAMN04126173	SAMN04126215	SAMN04126294	SAMN05578579	SAMN05578580	SAMN05578581	SAMN05578582	SAMN05578583	SAMN05578584	SAMN12711606	SAMN12711607	SAMN12711608	SAMN12711609	SAMN12711610	SAMN12711611	SAMN12711612	SAMN12711613	SAMN12711614	SAMN12711615	SAMN12711616	SAMN12711617	SAMN12711618	SAMN12711619	SAMN12711620	SAMN12711621	SAMN12711622	SAMN12711623	SAMN12711624	SAMN12711625	SAMN12711626	SAMN12711627	SAMN12711628	SAMN12711629	SAMN12711630	SAMN12711631	SAMN12711632	SAMN12711633	SAMN12711634	SAMN12711635	SAMN12711636	SAMN12711637	SAMN12711638	SAMN12711639	SAMN12711640	SAMN12711641	SAMN12711666	SAMN12711667	SAMN12711668	SAMN12711669	SAMN12711670	SAMN12711671	SAMN12711673	SAMN12711674	SAMN12711675	SAMN12711676	SAMN12711677	SAMN12711678	SAMN12711679	SAMN12711684	SAMN12711685	SAMN12711686	SAMN12711688	SAMN12711690	SAMN12711691	SAMN12711692	SAMN12711693	SAMN12711694	SAMN12711695	SAMN12711696	SAMN12711697	SAMN12711698	SAMN12711699	SAMN12711700	SAMN12711706	SAMN12711707	SAMN12711708	SAMN12711709	SAMN12711710	SAMN08110867	SAMN08110870	SAMN08110871	SAMN08110874	SAMN08110877	SAMN08110880	SAMN08110883	SAMN08110886	SAMN08110890	SAMEA104393711	SAMEA104393712	SAMEA104393717	SAMEA104393722	SAMN09534375	SAMN09534376	SAMN09534377	SAMN09534378	SAMN09534379	SAMN09534380	SAMN09534381	SAMN09534382	SAMN09534384	SAMN09534385	SAMN09534386	SAMN09534396	SAMN09534399	SAMN09534400	SAMN04126092	SAMN04126096	SAMN04126098	SAMN04126100	SAMN04126102	SAMN04126105	SAMN04126107	SAMN04126108	SAMN04126111	SAMN04126113	SAMN04126114	SAMN04126115	SAMN04126117	SAMN04126120	SAMN04126121	SAMN04126123	SAMN04126126	SAMN04126127	SAMN04126128	SAMN04126131	SAMN04126134	SAMN04126139	SAMN04126141	SAMN04126143	SAMN04126146	SAMN04126147	SAMN04126149	SAMN04126152	SAMN04126154	SAMN04126157	SAMN04126159	SAMN04126160	SAMN04126164	SAMN04126168	SAMN04126174	SAMN04126176	SAMN04126177	SAMN04126178	SAMN04126180	SAMN04126182	SAMN04126184	SAMN04126186	SAMN04126188	SAMN04126190	SAMN04126194	SAMN04126196	SAMN04126198	SAMN04126201	SAMN04126204	SAMN04126205	SAMN04126207	SAMN04126208	SAMN04126216	SAMN04126219	SAMN04126230	SAMN04126232	SAMN04126234	SAMN04126236	SAMN04126237	SAMN04126239	SAMN04126240	SAMN04126242	SAMN04126243	SAMN04126244	SAMN04126246	SAMN04126247	SAMN04126250	SAMN04126252	SAMN04126254	SAMN04126257	SAMN04126258	SAMN04126259	SAMN04126260	SAMN04126262	SAMN04126263	SAMN04126265	SAMN04126270	SAMN04126271	SAMN04126277	SAMN04126279	SAMN04126280	SAMN04126282	SAMN04126285	SAMN04126289	SAMN04126290	SAMN04126291	SAMN04126293	SAMN04126312	SAMN04126313	SAMN04126315	SAMN04126317	SAMN04126320
-1	7.1583066534355e-05	4.2809480966624e-05	4.9125633896126e-05	4.77220443562366e-05	3.50897384972328e-06	9.4040499172584e-05	1.96502535584504e-05	2.31592274081737e-05	3.01771751076202e-05	9.26369096326946e-05	1.61412797087271e-05	3.50897384972328e-05	6.10561449851851e-05	2.2457432638229e-05	8.07063985436355e-05	2.0352048328395e-05	4.21076861966794e-06	2.10538430983397e-06	6.31615292950191e-06	8.42153723933588e-06	3.08789698775649e-05	7.01794769944656e-07	7.01794769944656e-07	7.01794769944656e-06	7.01794769944656e-06	4.2809480966624e-05	2.38610221781183e-05	6.5266913604853e-05	0.000373354817610557	4.9125633896126e-06	0.000167728950016773	2.80717907977863e-06	1.05269215491698e-05	7.71974246939122e-06	6.31615292950191e-06	1.82466640185611e-05	8.56189619332481e-05	2.31592274081737e-05	3.50897384972328e-06	4.00023018868454e-05	4.9125633896126e-06	0.000108778189341422	9.05315253228607e-05	6.10561449851851e-05	5.68453763655172e-05	7.71974246939122e-06	7.71974246939122e-06	0.000134042801059429	1.96502535584504e-05	1.19305110890592e-05	4.77220443562366e-05	2.52646117180076e-05	9.26369096326946e-05	3.50897384972328e-05	5.68453763655172e-05	5.61435815955725e-06	4.14058914267347e-05	1.40358953988931e-06	2.38610221781183e-05	4.21076861966794e-06	3.50897384972328e-06	3.15807646475095e-05	7.01794769944656e-06	5.19328129759046e-05	4.9125633896126e-05	0.00015369305461788	0.000362126101291443	4.21076861966794e-06	2.2457432638229e-05	4.00023018868454e-05	8.21099880835248e-05	0.000461780958623584	2.31592274081737e-05	2.38610221781183e-05	6.31615292950191e-06	0.00070530374379438	0.000200713304204172	1.40358953988931e-06	0.000321422004634653	2.10538430983397e-05	5.12310182059599e-05	0.000112287163191145	2.87735855677309e-05	0.000357915332671775	7.1583066534355e-05	3.71951228070668e-05	6.31615292950191e-06	2.10538430983397e-06	6.31615292950191e-06	7.01794769944656e-06	7.01794769944656e-07	2.80717907977863e-06	2.0352048328395e-05	4.21076861966794e-06	1.40358953988931e-06	7.1583066534355e-05	1.12287163191145e-05	1.40358953988931e-06	3.71951228070668e-05	3.29843541873989e-05	0.000217556378682844	0.000137551774909153	8.9829730552916e-05	8.28117828534695e-05	0.000136849980139208	0.000136148185369263	0.000127726648129927	4.77220443562366e-05	3.43879437272882e-05	1.05269215491698e-05	3.64933280371221e-05	7.01794769944656e-06	2.10538430983397e-05	7.22848613042996e-05	0.000128428442899872	0.000139657159218987	0.000176150487256109	0.00022457432638229	0.000104567420721754	3.71951228070668e-05	0.000186677408805279	0.000134042801059429	4.35112757365687e-05	2.59664064879523e-05	0.000140358953988931	0.000165623565706939	2.10538430983397e-06	7.01794769944656e-07	1.33341006289485e-05	5.61435815955725e-05	7.93028090037462e-05	0	4.63184548163473e-05	1.47376901688378e-05	4.4914865276458e-05	2.73699960278416e-05	3.36861489573435e-05	1.40358953988931e-05	7.01794769944656e-07	8.14081933135802e-05	8.42153723933588e-06	0.000178255871565943	0.000137551774909153	1.47376901688378e-05	8.42153723933588e-06	6.80740926846317e-05	2.10538430983397e-06	7.1583066534355e-05	9.82512677922519e-06	7.57938351540229e-05	1.61412797087271e-05	3.50897384972328e-06	1.12287163191145e-05	1.82466640185611e-05	2.80717907977863e-06	7.22848613042996e-05	0.000197906125124393	0.000227381505462069	6.9477682224521e-05	0.000223170736842401	0.000126323058590038	0.000270892781198637	1.40358953988931e-06	6.66705031447424e-05	2.87735855677309e-05	2.31592274081737e-05	7.01794769944656e-07	6.66705031447424e-05	3.71951228070668e-05	0.000145973312148489	2.94753803376756e-05	8.14081933135802e-05	0.000319316620324819	1.05269215491698e-05	0.00042809480966624	3.01771751076202e-05	2.80717907977863e-05	0.0001115853684212	0.000137551774909153	0.000143867927838655	3.71951228070668e-05	8.84261410130267e-05	1.89484587885057e-05	2.80717907977863e-05	0.000232294068851681	0.000349493795432439	0.000376863791460281	0.000223872531612345	4.21076861966794e-06	1.40358953988931e-06	1.40358953988931e-06	4.84238391261813e-05	1.26323058590038e-05	0.000122814084740315	4.21076861966794e-06	4.21076861966794e-06	6.10561449851851e-05	1.40358953988931e-06	2.10538430983397e-06	1.96502535584504e-05	2.4562816948063e-05	1.26323058590038e-05	9.12333200928053e-06	1.54394849387824e-05	4.21076861966794e-06	7.01794769944656e-07	2.38610221781183e-05	1.54394849387824e-05	7.01794769944656e-07	2.80717907977863e-05	2.73699960278416e-05	0.000138955364449042	2.31592274081737e-05	8.42153723933588e-06	3.29843541873989e-05	7.71974246939122e-06	8.42153723933588e-06	3.01771751076202e-05	2.17556378682844e-05	7.71974246939122e-06	1.40358953988931e-06	6.31615292950191e-06	1.19305110890592e-05	3.15807646475095e-05	1.33341006289485e-05	2.10538430983397e-06	2.10538430983397e-06	5.61435815955725e-06	4.7020249586292e-05	1.40358953988931e-06	2.80717907977863e-06	6.87758874545763e-05	1.40358953988931e-06	2.66682012578969e-05	5.61435815955725e-06	3.50897384972328e-06	1.89484587885057e-05	1.82466640185611e-05	5.61435815955725e-06	6.31615292950191e-06	1.54394849387824e-05	1.47376901688378e-05	2.80717907977863e-06	2.10538430983397e-06	1.40358953988931e-06	7.01794769944656e-07	4.9125633896126e-06	3.50897384972328e-06	1.47376901688378e-05	4.21076861966794e-06	2.10538430983397e-06	2.31592274081737e-05	7.01794769944656e-06	2.80717907977863e-06	1.05269215491698e-05	1.40358953988931e-06	0.000105971010261643	7.01794769944656e-06	2.10538430983397e-06	3.01771751076202e-05	7.01794769944656e-07	1.75448692486164e-05	2.80717907977863e-05	5.47399920556832e-05	4.9125633896126e-06	1.33341006289485e-05	7.01794769944656e-07	8.42153723933588e-06	3.15807646475095e-05	2.10538430983397e-06	7.71974246939122e-06	1.89484587885057e-05	7.01794769944656e-06	1.75448692486164e-05	2.10538430983397e-05	1.05269215491698e-05	4.21076861966794e-06	1.61412797087271e-05	2.94753803376756e-05	7.01794769944656e-06	1.75448692486164e-05	1.61412797087271e-05	1.54394849387824e-05	9.12333200928053e-06	1.61412797087271e-05	7.71974246939122e-06	1.54394849387824e-05	7.71974246939122e-06	2.17556378682844e-05	1.89484587885057e-05	0.000113690752731034	7.01794769944656e-07	1.12287163191145e-05	1.33341006289485e-05
Acidaminococcus intestini [ref_mOTU_v2_0391]	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	7.01794769944656e-07	0	0	0.000169132539556662	3.22825594174542e-05	0	0	0	0	0	0	0	0	0	0	8.70225514731374e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00032703636279421	0.0024232973406189	0.00298894392519429	4.21076861966794e-06	2.10538430983397e-06	0	5.26346077458492e-05	5.12310182059599e-05	0	0	7.01794769944656e-07	1.40358953988931e-05	0.000369144048990889	1.40358953988931e-06	2.80717907977863e-06	7.01794769944656e-07	0.00134253339490413	0	0	0	0	0	3.50897384972328e-05	7.01794769944656e-07	7.01794769944656e-07	1.40358953988931e-06	7.01794769944656e-07	0.00201064201589144	7.01794769944656e-07	0	0	7.01794769944656e-07	0	7.01794769944656e-07	0	7.01794769944656e-07	7.01794769944656e-07	7.01794769944656e-07	7.01794769944656e-07	7.01794769944656e-07	0	7.01794769944656e-07	0.000468097111553086	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	3.50897384972328e-06	7.01794769944656e-07	0	7.01794769944656e-07	0	7.22848613042996e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9125633896126e-06	0	0	0	0	0	0	0	0	7.01794769944656e-06	1.19305110890592e-05	0	0	0	2.73699960278416e-05	0	2.10538430983397e-06	7.01794769944656e-07	8.21099880835248e-05	2.31592274081737e-05	0	0	0	1.40358953988931e-06	7.01794769944656e-07	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	0	0	0	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	0	0	0	7.01794769944656e-07	0	2.52646117180076e-05	0	0	2.80717907977863e-06	0	0	7.01794769944656e-07	1.40358953988931e-06	7.01794769944656e-07	1.40358953988931e-06	0	0.000227381505462069	0	5.54417868256279e-05	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	2.10538430983397e-06	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	5.61435815955725e-06	0	0	0	0	7.01794769944656e-07	0	0	3.22825594174542e-05	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	1.40358953988931e-06	0	0	0	0	0	2.10538430983397e-06	0
Actinomyces graevenitzii [ref_mOTU_v2_1056]	0	0	7.01794769944656e-07	4.21076861966794e-06	0	0	0	0	0	0	1.40358953988931e-06	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	1.40358953988931e-06	7.01794769944656e-07	1.40358953988931e-06	0	0	0	0	0	0	7.01794769944656e-07	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	1.40358953988931e-06	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	7.01794769944656e-07	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	7.01794769944656e-07	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	7.01794769944656e-07	0	0	0
Actinomyces odontolyticus [ref_mOTU_v2_0375]	0	1.40358953988931e-06	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	1.40358953988931e-06	7.01794769944656e-07	0	0	0	7.01794769944656e-07	0	0	7.01794769944656e-07	7.01794769944656e-07	1.40358953988931e-06	1.40358953988931e-06	0	7.71974246939122e-06	7.01794769944656e-07	7.01794769944656e-07	7.01794769944656e-07	6.31615292950191e-06	1.40358953988931e-06	2.80717907977863e-06	2.10538430983397e-06	1.40358953988931e-06	7.01794769944656e-07	7.01794769944656e-07	0	0	0	1.40358953988931e-05	7.01794769944656e-07	0	0	1.40358953988931e-06	3.50897384972328e-06	0	7.01794769944656e-07	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	1.40358953988931e-06	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	7.01794769944656e-07	0	0	0	0	0	7.01794769944656e-07	0	0	0
Actinomyces sp. HPA0247 [ref_mOTU_v2_2506]	0	0	7.01794769944656e-07	1.40358953988931e-06	0	7.01794769944656e-07	0	0	0	0	7.01794769944656e-07	0	0	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80717907977863e-06	7.01794769944656e-07	0	7.01794769944656e-07	0	0	0	0	0	7.01794769944656e-07	0	7.71974246939122e-06	0	1.89484587885057e-05	0	6.31615292950191e-06	0	7.01794769944656e-07	6.31615292950191e-06	7.01794769944656e-07	1.40358953988931e-06	7.01794769944656e-07	0	0	0	1.40358953988931e-06	0	4.21076861966794e-06	0	7.01794769944656e-07	1.40358953988931e-06	0	1.26323058590038e-05	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces sp. ICM39 [ref_mOTU_v2_0376]	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	7.01794769944656e-07	0	1.40358953988931e-06	2.80717907977863e-06	0	1.26323058590038e-05	0	7.01794769944656e-07	0	4.21076861966794e-06	1.40358953988931e-06	1.40358953988931e-06	0	0	0	1.40358953988931e-06	0	0	0	1.47376901688378e-05	7.01794769944656e-07	0	0	7.01794769944656e-07	3.50897384972328e-06	7.01794769944656e-07	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	7.01794769944656e-07	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	7.01794769944656e-07	0	7.01794769944656e-07	0	0	0	0	0	7.01794769944656e-07	7.01794769944656e-07	1.40358953988931e-06	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0
Actinomyces sp. [ref_mOTU_v2_0377]	0	7.01794769944656e-07	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	2.80717907977863e-06	7.01794769944656e-07	0	0	1.40358953988931e-06	0	1.40358953988931e-06	0	0	0	0	0	0	0	7.01794769944656e-06	0	0	0	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	7.01794769944656e-07	0	1.40358953988931e-06	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	7.01794769944656e-07	1.40358953988931e-06	7.01794769944656e-07	0	1.40358953988931e-06	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	7.01794769944656e-07	0	0	0
Actinomyces sp. [ref_mOTU_v2_0430]	0	0	1.40358953988931e-06	7.01794769944656e-07	0	7.01794769944656e-07	0	0	0	7.01794769944656e-07	0	0	0	7.01794769944656e-07	2.10538430983397e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	7.01794769944656e-07	7.01794769944656e-07	2.80717907977863e-06	7.01794769944656e-07	0	0	0	7.01794769944656e-07	0	0	0	7.01794769944656e-07	7.01794769944656e-07	7.01794769944656e-07	0	2.80717907977863e-06	0	1.40358953988931e-06	7.01794769944656e-07	2.10538430983397e-06	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	0	0	0	7.01794769944656e-07	7.01794769944656e-07	0	1.40358953988931e-06	7.01794769944656e-07	2.80717907977863e-06	0	1.40358953988931e-06	0	0	0	0	7.01794769944656e-07	1.40358953988931e-06	0	0	0	0	0	7.01794769944656e-07	0	7.01794769944656e-07	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	7.01794769944656e-07	0	0	7.01794769944656e-07	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0
Actinomyces sp. [ref_mOTU_v2_5106]	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	7.01794769944656e-07	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	7.01794769944656e-07	0	4.21076861966794e-06	0	7.01794769944656e-07	0	0	7.01794769944656e-07	7.01794769944656e-07	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0
Actinomyces sp. [ref_mOTU_v2_5209]	0	7.01794769944656e-07	1.40358953988931e-06	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	7.01794769944656e-07	0	4.21076861966794e-06	0	7.01794769944656e-07	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	7.01794769944656e-07	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	2.10538430983397e-06	0	0	0	7.01794769944656e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40358953988931e-06	0	0	0	0	0	0	0	2.10538430983397e-06	0	0	7.01794769944656e-07	1.40358953988931e-06	7.01794769944656e-07	1.40358953988931e-06	2.10538430983397e-06	1.40358953988931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01794769944656e-07	0	0	0	7.01794769944656e-07	0	0	0	0	0	7.01794769944656e-07	0	0	0
