mOTU_ID,mOTU_name
ref_mOTU_v2_4595,Abiotrophia defectiva [ref_mOTU_v2_4595]
ref_mOTU_v2_1832,Acaricomes phytoseiuli [ref_mOTU_v2_1832]
ref_mOTU_v2_4017,Acaryochloris marina [ref_mOTU_v2_4017]
ref_mOTU_v2_4378,Acetivibrio cellulolyticus [ref_mOTU_v2_4378]
ref_mOTU_v2_3493,Acetobacter aceti [ref_mOTU_v2_3493]
ref_mOTU_v2_4735,Acetobacter aceti [ref_mOTU_v2_4735]
ref_mOTU_v2_3718,Acetobacter malorum [ref_mOTU_v2_3718]
ref_mOTU_v2_1833,Acetobacter nitrogenifigens [ref_mOTU_v2_1833]
ref_mOTU_v2_2720,Acetobacter okinawensis [ref_mOTU_v2_2720]
ref_mOTU_v2_2699,Acetobacter papayae [ref_mOTU_v2_2699]
ref_mOTU_v2_0080,Acetobacter pasteurianus [ref_mOTU_v2_0080]
ref_mOTU_v2_5233,Acetobacter pasteurianus [ref_mOTU_v2_5233]
ref_mOTU_v2_2722,Acetobacter persici [ref_mOTU_v2_2722]
ref_mOTU_v2_1472,Acetobacter pomorum [ref_mOTU_v2_1472]
meta_mOTU_v2_6669,Acetobacter sp. CAG:977 [meta_mOTU_v2_6669]
ref_mOTU_v2_1635,Acetobacter tropicalis [ref_mOTU_v2_1635]
ref_mOTU_v2_1672,Acetobacteraceae sp. AT-5844 [ref_mOTU_v2_1672]
ref_mOTU_v2_0061,Acetobacteraceae sp. [ref_mOTU_v2_0061]
ref_mOTU_v2_1683,Acetobacterium dehalogenans [ref_mOTU_v2_1683]
ref_mOTU_v2_5186,Acetobacterium woodii [ref_mOTU_v2_5186]
ref_mOTU_v2_4545,Acetohalobium arabaticum [ref_mOTU_v2_4545]
ref_mOTU_v2_1570,Acetonema longum [ref_mOTU_v2_1570]
ref_mOTU_v2_2871,Acholeplasma axanthum [ref_mOTU_v2_2871]
ref_mOTU_v2_3295,Acholeplasma equifetale [ref_mOTU_v2_3295]
ref_mOTU_v2_2866,Acholeplasma granularum [ref_mOTU_v2_2866]
ref_mOTU_v2_3296,Acholeplasma hippikon [ref_mOTU_v2_3296]
ref_mOTU_v2_4250,Acholeplasma laidlawii [ref_mOTU_v2_4250]
ref_mOTU_v2_3297,Acholeplasma modicum [ref_mOTU_v2_3297]
meta_mOTU_v2_5943,Acholeplasma sp. CAG:878 [meta_mOTU_v2_5943]
ref_mOTU_v2_4325,Achromobacter arsenitoxydans [ref_mOTU_v2_4325]
ref_mOTU_v2_0055,Achromobacter insuavis/xylosoxidans [ref_mOTU_v2_0055]
ref_mOTU_v2_2332,Achromobacter piechaudii [ref_mOTU_v2_2332]
ref_mOTU_v2_4877,Achromobacter piechaudii [ref_mOTU_v2_4877]
ref_mOTU_v2_3244,Achromobacter sp. DH1f [ref_mOTU_v2_3244]
ref_mOTU_v2_3639,Achromobacter sp. RTa [ref_mOTU_v2_3639]
ref_mOTU_v2_4939,Achromobacter xylosoxidans [ref_mOTU_v2_4939]
ref_mOTU_v2_4998,Achromobacter xylosoxidans [ref_mOTU_v2_4998]
ref_mOTU_v2_4591,Acidaminococcus fermentans [ref_mOTU_v2_4591]
ref_mOTU_v2_0391,Acidaminococcus intestini [ref_mOTU_v2_0391]
ref_mOTU_v2_5195,Acidianus hospitalis [ref_mOTU_v2_5195]
ref_mOTU_v2_3695,Acidihalobacter prosperus [ref_mOTU_v2_3695]
ref_mOTU_v2_4740,Acidilobus saccharovorans [ref_mOTU_v2_4740]
ref_mOTU_v2_4432,Acidimicrobium ferrooxidans [ref_mOTU_v2_4432]
ref_mOTU_v2_3298,Acidiphilium angustum [ref_mOTU_v2_3298]
ref_mOTU_v2_1231,Acidiphilium cryptum/multivorum [ref_mOTU_v2_1231]
meta_mOTU_v2_7289,Acidiphilium sp. CAG:727 [meta_mOTU_v2_7289]
meta_mOTU_v2_7352,Acidiphilium sp. CAG:727 [meta_mOTU_v2_7352]
meta_mOTU_v2_7554,Acidiphilium sp. CAG:727 [meta_mOTU_v2_7554]
meta_mOTU_v2_7631,Acidiphilium sp. CAG:727 [meta_mOTU_v2_7631]
ref_mOTU_v2_1464,Acidithiobacillus caldus [ref_mOTU_v2_1464]
ref_mOTU_v2_1279,Acidithiobacillus ferrivorans [ref_mOTU_v2_1279]
ref_mOTU_v2_1304,Acidithiobacillus ferrooxidans [ref_mOTU_v2_1304]
ref_mOTU_v2_1173,Acidithiobacillus thiooxidans [ref_mOTU_v2_1173]
ref_mOTU_v2_4662,Acidobacteria sp. [ref_mOTU_v2_4662]
ref_mOTU_v2_2833,Acidobacteriaceae sp. [ref_mOTU_v2_2833]
ref_mOTU_v2_2834,Acidobacteriaceae sp. [ref_mOTU_v2_2834]
ref_mOTU_v2_2835,Acidobacteriaceae sp. [ref_mOTU_v2_2835]
ref_mOTU_v2_3879,Acidobacteriaceae sp. [ref_mOTU_v2_3879]
ref_mOTU_v2_3812,Acidobacterium capsulatum [ref_mOTU_v2_3812]
ref_mOTU_v2_3192,Acidobacterium sp. PMMR2 [ref_mOTU_v2_3192]
ref_mOTU_v2_3299,Acidocella facilis [ref_mOTU_v2_3299]
ref_mOTU_v2_4063,Acidothermus cellulolyticus [ref_mOTU_v2_4063]
ref_mOTU_v2_1147,Acidovorax avenae/citrulli/oryzae [ref_mOTU_v2_1147]
ref_mOTU_v2_1300,Acidovorax ebreus [ref_mOTU_v2_1300]
ref_mOTU_v2_1542,Acidovorax radicis [ref_mOTU_v2_1542]
ref_mOTU_v2_2858,Acidovorax sp. JHL-3 [ref_mOTU_v2_2858]
ref_mOTU_v2_2859,Acidovorax sp. JHL-9 [ref_mOTU_v2_2859]
