"Samples","Cdiff_tox","Tox_name"
"70838280-metaG-T5","Yes","TcdB"
"765094712-stool3","Yes","TcdA"
"CA_C10008IS2131FE_t5M16","Yes","TcdB"
"CA_C10008IS2131FE_t5M16","Yes","TcdA"
"G69253","Yes","TcdA"
"G69273","Yes","TcdA"
"G69273","Yes","TcdB"
"G69286","Yes","TcdA"
"G69286","Yes","TcdB"
"G78633","Yes","TcdA"
"G78633","Yes","TcdB"
"G78772","Yes","TcdA"
"G78852","Yes","TcdB"
"G78852","Yes","TcdA"
"G78889","Yes","TcdA"
"G78889","Yes","TcdB"
"G80447","Yes","TcdA"
"G80513","Yes","TcdB"
"G80513","Yes","TcdA"
"G80527","Yes","TcdA"
"G80527","Yes","TcdB"
"G80537","Yes","TcdA"
"G80537","Yes","TcdB"
"G80541","Yes","TcdB"
"G80541","Yes","TcdA"
"LD-89S_Discovery","Yes","TcdA"
"LD-89S_Discovery","Yes","TcdB"
"LD-94S_Discovery","Yes","TcdB"
"LD-94S_Discovery","Yes","TcdA"
"LV10S_Validation","Yes","TcdB"
"LV10S_Validation","Yes","TcdA"
"LV20S_Validation","Yes","TcdA"
"LV6S_Validation","Yes","TcdA"
"LV6S_Validation","Yes","TcdB"
"SAMEA104142122","Yes","TcdA"
"SAMEA104142163","Yes","TcdA"
"SAMEA104142163","Yes","TcdB"
"SAMEA104142189","Yes","TcdA"
"SAMEA104142189","Yes","TcdB"
"SAMEA104142299","Yes","TcdA"
"SAMEA104142299","Yes","TcdB"
"SAMEA104142340","Yes","TcdA"
"SAMEA104142340","Yes","TcdB"
"SAMEA104393753","Yes","TcdA"
"SAMEA104393753","Yes","TcdB"
"SAMEA104393772","Yes","TcdA"
"SAMEA104393772","Yes","TcdB"
"SAMEA104565222","Yes","TcdB"
"SAMEA104565222","Yes","TcdA"
"SAMEA104565224","Yes","TcdB"
"SAMEA104565224","Yes","TcdA"
"SAMEA104565225","Yes","TcdA"
"SAMEA104565225","Yes","TcdB"
"SAMEA104565226","Yes","TcdA"
"SAMEA104565226","Yes","TcdB"
"SAMEA104565238","Yes","TcdB"
"SAMEA104565238","Yes","TcdA"
"SAMEA104565245","Yes","TcdA"
"SAMEA104565245","Yes","TcdB"
"SAMEA104565259","Yes","TcdA"
"SAMEA104565259","Yes","TcdB"
"SAMEA104565261","Yes","TcdB"
"SAMEA104565261","Yes","TcdA"
"SAMEA104565382","Yes","TcdB"
"SAMEA104565382","Yes","TcdA"
"SAMEA104565383","Yes","TcdB"
"SAMEA104565383","Yes","TcdA"
"SAMEA104565387","Yes","TcdA"
"SAMEA104565390","Yes","TcdB"
"SAMEA104565390","Yes","TcdA"
"SAMEA104565392","Yes","TcdB"
"SAMEA104565392","Yes","TcdA"
"SAMEA104565393","Yes","TcdB"
"SAMEA104565393","Yes","TcdA"
"SAMEA104565394","Yes","TcdA"
"SAMEA104565396","Yes","TcdA"
"SAMEA104565398","Yes","TcdA"
"SAMEA104565404","Yes","TcdA"
"SAMEA104565414","Yes","TcdA"
"SAMEA104565414","Yes","TcdB"
"SAMEA1069180","Yes","TcdA"
"SAMEA1069180","Yes","TcdB"
"SAMEA2579911","Yes","TcdB"
"SAMEA2579918","Yes","TcdB"
"SAMEA2579943","Yes","TcdA"
"SAMEA2579943","Yes","TcdB"
"SAMEA2579989","Yes","TcdB"
"SAMEA2579989","Yes","TcdA"
"SAMEA2579993","Yes","TcdA"
"SAMEA2579993","Yes","TcdB"
"SAMEA2580009","Yes","TcdB"
"SAMEA2580009","Yes","TcdA"
"SAMEA2580019","Yes","TcdA"
"SAMEA2580037","Yes","TcdB"
"SAMEA2580053","Yes","TcdA"
"SAMEA2580053","Yes","TcdB"
"SAMEA2580061","Yes","TcdA"
"SAMEA2580061","Yes","TcdB"
"SAMEA2580089","Yes","TcdB"
"SAMEA2580089","Yes","TcdA"
"SAMEA2580107","Yes","TcdA"
"SAMEA2580107","Yes","TcdB"
"SAMEA2580130","Yes","TcdB"
"SAMEA2580130","Yes","TcdA"
"SAMEA2580137","Yes","TcdA"
"SAMEA2580137","Yes","TcdB"
"SAMEA2580141","Yes","TcdB"
"SAMEA2580141","Yes","TcdA"
"SAMEA2580150","Yes","TcdB"
"SAMEA2580150","Yes","TcdA"
"SAMEA2580162","Yes","TcdA"
"SAMEA2580162","Yes","TcdB"
"SAMEA2580174","Yes","TcdB"
"SAMEA2580174","Yes","TcdA"
"SAMEA2580177","Yes","TcdA"
"SAMEA2580177","Yes","TcdB"
"SAMEA2580218","Yes","TcdA"
"SAMEA2580221","Yes","TcdB"
"SAMEA2580221","Yes","TcdA"
"SAMEA2580222","Yes","TcdA"
"SAMEA2580222","Yes","TcdB"
"SAMEA2580229","Yes","TcdA"
"SAMEA2580229","Yes","TcdB"
"SAMEA2580233","Yes","TcdB"
"SAMEA2580233","Yes","TcdA"
"SAMEA2580253","Yes","TcdA"
"SAMEA2580253","Yes","TcdB"
"SAMEA2580262","Yes","TcdA"
"SAMEA2580278","Yes","TcdA"
"SAMEA2580278","Yes","TcdB"
"SAMEA2580282","Yes","TcdA"
"SAMEA2580282","Yes","TcdB"
"SAMEA2580287","Yes","TcdB"
"SAMEA2580287","Yes","TcdA"
"SAMEA2580301","Yes","TcdA"
"SAMEA2580301","Yes","TcdB"
"SAMEA2580302","Yes","TcdB"
"SAMEA2580302","Yes","TcdA"
"SAMEA3541488","Yes","TcdB"
"SAMEA3541488","Yes","TcdA"
"SAMEA3665178","Yes","TcdA"
"SAMEA3665178","Yes","TcdB"
"SAMEA3708487","Yes","TcdB"
"SAMEA3708487","Yes","TcdA"
"SAMEA3708612","Yes","TcdB"
"SAMEA3708623","Yes","TcdA"
"SAMEA3708632","Yes","TcdB"
"SAMEA3708635","Yes","TcdB"
"SAMEA3708635","Yes","TcdA"
"SAMEA4431876","Yes","TcdB"
"SAMEA4431876","Yes","TcdA"
"SAMEA4431879","Yes","TcdA"
"SAMEA4431879","Yes","TcdB"
"SAMEA4431884","Yes","TcdA"
"SAMEA4431884","Yes","TcdB"
"SAMEA4431888","Yes","TcdB"
"SAMEA4431888","Yes","TcdA"
"SAMEA4431903","Yes","TcdB"
"SAMEA4431903","Yes","TcdA"
"SAMEA4431906","Yes","TcdA"
"SAMEA4431906","Yes","TcdB"
"SAMEA4431909","Yes","TcdB"
"SAMEA4431909","Yes","TcdA"
"SAMEA4431911","Yes","TcdA"
"SAMEA4431911","Yes","TcdB"
"SAMEA4431912","Yes","TcdB"
"SAMEA4431912","Yes","TcdA"
"SAMEA4431919","Yes","TcdB"
"SAMEA4431919","Yes","TcdA"
"SAMEA4431920","Yes","TcdA"
"SAMEA4431920","Yes","TcdB"
"SAMEA4431925","Yes","TcdA"
"SAMEA4431925","Yes","TcdB"
"SAMEA4431926","Yes","TcdB"
"SAMEA4431926","Yes","TcdA"
"SAMEA4431927","Yes","TcdA"
"SAMEA4431927","Yes","TcdB"
"SAMEA4431928","Yes","TcdB"
"SAMEA4431928","Yes","TcdA"
"SAMEA4702342","Yes","TcdB"
"SAMEA4702342","Yes","TcdA"
"SAMEA4702346","Yes","TcdB"
"SAMEA4702346","Yes","TcdA"
"SAMEA4702368","Yes","TcdB"
"SAMEA4702368","Yes","TcdA"
"SAMEA4814093","Yes","TcdA"
"SAMEA4814093","Yes","TcdB"
"SAMEA4814094","Yes","TcdA"
"SAMEA4845806","Yes","TcdB"
"SAMEA4845806","Yes","TcdA"
"SAMEA5410050","Yes","TcdB"
"SAMEA5410050","Yes","TcdA"
"SAMEA5564300","Yes","TcdB"
"SAMEA5564300","Yes","TcdA"
"SAMEA5564304","Yes","TcdA"
"SAMEA5564304","Yes","TcdB"
"SAMEA5564324","Yes","TcdB"
"SAMEA5564324","Yes","TcdA"
"SAMEA5564353","Yes","TcdA"
"SAMEA5564358","Yes","TcdB"
"SAMEA5564378","Yes","TcdA"
"SAMEA5564378","Yes","TcdB"
"SAMEA5564394","Yes","TcdB"
"SAMEA5564396","Yes","TcdA"
"SAMEA5564396","Yes","TcdB"
"SAMEA5564426","Yes","TcdA"
"SAMEA5564426","Yes","TcdB"
"SAMEA5616786","Yes","TcdB"
"SAMEA5616786","Yes","TcdA"
"SAMEA5616880","Yes","TcdA"
"SAMEA5616880","Yes","TcdB"
"SAMEA5616916","Yes","TcdA"
