mOTU2.0_cluster	mOTU2.0_cluster_name	mOTU2.0_cluster_id	Anaerobic	Aerotolerant	Facultative_aerobic	Microaerophilic	Aerobic
Abiotrophia defectiva [ref_mOTU_v2_4595]	Abiotrophia defectiva 	ref_mOTU_v2_4595	0	0	1	0	0
Acaricomes phytoseiuli [ref_mOTU_v2_1832]	Acaricomes phytoseiuli 	ref_mOTU_v2_1832	0	0	0	0	1
Acaryochloris marina [ref_mOTU_v2_4017]	Acaryochloris marina 	ref_mOTU_v2_4017	0	0	0	0	1
Acetivibrio cellulolyticus [ref_mOTU_v2_4378]	Acetivibrio cellulolyticus 	ref_mOTU_v2_4378	1	0	0	0	0
Acetobacter aceti [ref_mOTU_v2_3493]	Acetobacter aceti 	ref_mOTU_v2_3493	0	0	0	0	1
Acetobacter aceti [ref_mOTU_v2_4735]	Acetobacter aceti 	ref_mOTU_v2_4735	0	0	0	0	1
Acetobacter malorum [ref_mOTU_v2_3718]	Acetobacter malorum 	ref_mOTU_v2_3718	0	0	0	0	1
Acetobacter nitrogenifigens [ref_mOTU_v2_1833]	Acetobacter nitrogenifigens 	ref_mOTU_v2_1833	0	0	0	0	1
Acetobacter okinawensis [ref_mOTU_v2_2720]	Acetobacter okinawensis 	ref_mOTU_v2_2720	0	0	0	0	1
Acetobacter papayae [ref_mOTU_v2_2699]	Acetobacter papayae 	ref_mOTU_v2_2699	0	0	0	0	1
Acetobacter pasteurianus [ref_mOTU_v2_0080]	Acetobacter pasteurianus 	ref_mOTU_v2_0080	0	0	0	0	1
Acetobacter pasteurianus [ref_mOTU_v2_5233]	Acetobacter pasteurianus 	ref_mOTU_v2_5233	0	0	0	0	1
Acetobacter persici [ref_mOTU_v2_2722]	Acetobacter persici 	ref_mOTU_v2_2722	0	0	0	0	1
Acetobacter pomorum [ref_mOTU_v2_1472]	Acetobacter pomorum 	ref_mOTU_v2_1472	0	0	0	0	1
Acetobacter sp. CAG:977 [meta_mOTU_v2_6669]	Acetobacter sp. CAG:977 	meta_mOTU_v2_6669	#N/A	#N/A	#N/A	#N/A	#N/A
Acetobacter tropicalis [ref_mOTU_v2_1635]	Acetobacter tropicalis 	ref_mOTU_v2_1635	0	0	0	0	1
Acetobacteraceae sp. [ref_mOTU_v2_0061]	Acetobacteraceae sp. 	ref_mOTU_v2_0061	0	0	0	0	1
Acetobacteraceae sp. AT-5844 [ref_mOTU_v2_1672]	Acetobacteraceae sp. AT-5844 	ref_mOTU_v2_1672	0	0	0	0	1
Acetobacterium dehalogenans [ref_mOTU_v2_1683]	Acetobacterium dehalogenans 	ref_mOTU_v2_1683	0	0	0	0	1
Acetobacterium woodii [ref_mOTU_v2_5186]	Acetobacterium woodii 	ref_mOTU_v2_5186	0	0	0	0	1
Acetohalobium arabaticum [ref_mOTU_v2_4545]	Acetohalobium arabaticum 	ref_mOTU_v2_4545	1	0	0	0	0
Acetonema longum [ref_mOTU_v2_1570]	Acetonema longum 	ref_mOTU_v2_1570	1	0	0	0	0
Acholeplasma axanthum [ref_mOTU_v2_2871]	Acholeplasma axanthum 	ref_mOTU_v2_2871	0	0	1	0	0
Acholeplasma equifetale [ref_mOTU_v2_3295]	Acholeplasma equifetale 	ref_mOTU_v2_3295	0	0	1	0	0
Acholeplasma granularum [ref_mOTU_v2_2866]	Acholeplasma granularum 	ref_mOTU_v2_2866	0	0	1	0	0
Acholeplasma hippikon [ref_mOTU_v2_3296]	Acholeplasma hippikon 	ref_mOTU_v2_3296	0	0	1	0	0
Acholeplasma laidlawii [ref_mOTU_v2_4250]	Acholeplasma laidlawii 	ref_mOTU_v2_4250	0	0	1	0	0
Acholeplasma modicum [ref_mOTU_v2_3297]	Acholeplasma modicum 	ref_mOTU_v2_3297	0	0	1	0	0
Acholeplasma sp. CAG:878 [meta_mOTU_v2_5943]	Acholeplasma sp. CAG:878 	meta_mOTU_v2_5943	#N/A	#N/A	#N/A	#N/A	#N/A
Achromobacter arsenitoxydans [ref_mOTU_v2_4325]	Achromobacter arsenitoxydans 	ref_mOTU_v2_4325	0	0	0	0	1
Achromobacter insuavis/xylosoxidans [ref_mOTU_v2_0055]	Achromobacter insuavis/xylosoxidans 	ref_mOTU_v2_0055	0	0	0	0	1
Achromobacter piechaudii [ref_mOTU_v2_2332]	Achromobacter piechaudii 	ref_mOTU_v2_2332	0	0	0	0	1
Achromobacter piechaudii [ref_mOTU_v2_4877]	Achromobacter piechaudii 	ref_mOTU_v2_4877	0	0	0	0	1
Achromobacter sp. DH1f [ref_mOTU_v2_3244]	Achromobacter sp. DH1f 	ref_mOTU_v2_3244	0	0	0	0	1
Achromobacter sp. RTa [ref_mOTU_v2_3639]	Achromobacter sp. RTa 	ref_mOTU_v2_3639	0	0	0	0	1
Achromobacter xylosoxidans [ref_mOTU_v2_4939]	Achromobacter xylosoxidans 	ref_mOTU_v2_4939	0	0	0	0	1
Achromobacter xylosoxidans [ref_mOTU_v2_4998]	Achromobacter xylosoxidans 	ref_mOTU_v2_4998	0	0	0	0	1
Acidaminococcus fermentans [ref_mOTU_v2_4591]	Acidaminococcus fermentans 	ref_mOTU_v2_4591	1	0	0	0	0
Acidaminococcus intestini [ref_mOTU_v2_0391]	Acidaminococcus intestini 	ref_mOTU_v2_0391	1	0	0	0	0
Acidianus hospitalis [ref_mOTU_v2_5195]	Acidianus hospitalis 	ref_mOTU_v2_5195	0	0	1	0	0
Acidihalobacter prosperus [ref_mOTU_v2_3695]	Acidihalobacter prosperus 	ref_mOTU_v2_3695	0	0	0	0	1
Acidilobus saccharovorans [ref_mOTU_v2_4740]	Acidilobus saccharovorans 	ref_mOTU_v2_4740	1	0	0	0	0
